Domain,Dataset,Column,Data Type,Rows,Null Count,Null Percentage (%),Unique Values,Unique Percentage (%)
Commerce,olist_order_items_dataset,order_id,str,112650,0,0.0,98666,87.59
Commerce,olist_order_items_dataset,order_item_id,int64,112650,0,0.0,21,0.02
Commerce,olist_order_items_dataset,product_id,str,112650,0,0.0,32951,29.25
Commerce,olist_order_items_dataset,seller_id,str,112650,0,0.0,3095,2.75
Commerce,olist_order_items_dataset,shipping_limit_date,str,112650,0,0.0,93318,82.84
Commerce,olist_order_items_dataset,price,float64,112650,0,0.0,5968,5.3
Commerce,olist_order_items_dataset,freight_value,float64,112650,0,0.0,6999,6.21
Commerce,olist_order_payments_dataset,order_id,str,103886,0,0.0,99440,95.72
Commerce,olist_order_payments_dataset,payment_sequential,int64,103886,0,0.0,29,0.03
Commerce,olist_order_payments_dataset,payment_type,str,103886,0,0.0,5,0.0
Commerce,olist_order_payments_dataset,payment_installments,int64,103886,0,0.0,24,0.02
Commerce,olist_order_payments_dataset,payment_value,float64,103886,0,0.0,29077,27.99
Commerce,olist_orders_dataset,order_id,str,99441,0,0.0,99441,100.0
Commerce,olist_orders_dataset,customer_id,str,99441,0,0.0,99441,100.0
Commerce,olist_orders_dataset,order_status,str,99441,0,0.0,8,0.01
Commerce,olist_orders_dataset,order_purchase_timestamp,str,99441,0,0.0,98875,99.43
Commerce,olist_orders_dataset,order_approved_at,str,99441,160,0.16,90733,91.24
Commerce,olist_orders_dataset,order_delivered_carrier_date,str,99441,1783,1.79,81018,81.47
Commerce,olist_orders_dataset,order_delivered_customer_date,str,99441,2965,2.98,95664,96.2
Commerce,olist_orders_dataset,order_estimated_delivery_date,str,99441,0,0.0,459,0.46
Commerce,olist_products_dataset,product_id,str,32951,0,0.0,32951,100.0
Commerce,olist_products_dataset,product_category_name,str,32951,610,1.85,73,0.22
Commerce,olist_products_dataset,product_name_lenght,float64,32951,610,1.85,66,0.2
Commerce,olist_products_dataset,product_description_lenght,float64,32951,610,1.85,2960,8.98
Commerce,olist_products_dataset,product_photos_qty,float64,32951,610,1.85,19,0.06
Commerce,olist_products_dataset,product_weight_g,float64,32951,2,0.01,2204,6.69
Commerce,olist_products_dataset,product_length_cm,float64,32951,2,0.01,99,0.3
Commerce,olist_products_dataset,product_height_cm,float64,32951,2,0.01,102,0.31
Commerce,olist_products_dataset,product_width_cm,float64,32951,2,0.01,95,0.29
Commerce,olist_sellers_dataset,seller_id,str,3095,0,0.0,3095,100.0
Commerce,olist_sellers_dataset,seller_zip_code_prefix,int64,3095,0,0.0,2246,72.57
Commerce,olist_sellers_dataset,seller_city,str,3095,0,0.0,611,19.74
Commerce,olist_sellers_dataset,seller_state,str,3095,0,0.0,23,0.74
Commerce,product_category_name_translation,product_category_name,str,71,0,0.0,71,100.0
Commerce,product_category_name_translation,product_category_name_english,str,71,0,0.0,71,100.0
Custommer,olist_customers_dataset,customer_id,str,99441,0,0.0,99441,100.0
Custommer,olist_customers_dataset,customer_unique_id,str,99441,0,0.0,96096,96.64
Custommer,olist_customers_dataset,customer_zip_code_prefix,int64,99441,0,0.0,14994,15.08
Custommer,olist_customers_dataset,customer_city,str,99441,0,0.0,4119,4.14
Custommer,olist_customers_dataset,customer_state,str,99441,0,0.0,27,0.03
Custommer,olist_order_reviews_dataset,review_id,str,99224,0,0.0,98410,99.18
Custommer,olist_order_reviews_dataset,order_id,str,99224,0,0.0,98673,99.44
Custommer,olist_order_reviews_dataset,review_score,int64,99224,0,0.0,5,0.01
Custommer,olist_order_reviews_dataset,review_comment_title,str,99224,87656,88.34,4527,4.56
Custommer,olist_order_reviews_dataset,review_comment_message,str,99224,58247,58.7,36159,36.44
Custommer,olist_order_reviews_dataset,review_creation_date,str,99224,0,0.0,636,0.64
Custommer,olist_order_reviews_dataset,review_answer_timestamp,str,99224,0,0.0,98248,99.02
Delivery,olist_geolocation_dataset,geolocation_zip_code_prefix,int64,1000163,0,0.0,19015,1.9
Delivery,olist_geolocation_dataset,geolocation_lat,float64,1000163,0,0.0,717360,71.72
Delivery,olist_geolocation_dataset,geolocation_lng,float64,1000163,0,0.0,717613,71.75
Delivery,olist_geolocation_dataset,geolocation_city,str,1000163,0,0.0,8011,0.8
Delivery,olist_geolocation_dataset,geolocation_state,str,1000163,0,0.0,27,0.0
