Relationship Type,Source Dataset,Source Column,Target Dataset,Target Column,Business Attribute,Match Percentage (%)
Semantic,olist_customers_dataset,customer_zip_code_prefix,olist_geolocation_dataset,geolocation_zip_code_prefix,postal_code,98.95
Semantic,olist_geolocation_dataset,geolocation_zip_code_prefix,olist_customers_dataset,customer_zip_code_prefix,postal_code,78.03
Semantic,olist_sellers_dataset,seller_zip_code_prefix,olist_customers_dataset,customer_zip_code_prefix,postal_code,96.26
Semantic,olist_sellers_dataset,seller_zip_code_prefix,olist_geolocation_dataset,geolocation_zip_code_prefix,postal_code,99.69
Structural,olist_customers_dataset,customer_id,olist_orders_dataset,customer_id,customer_id,100.0
Structural,olist_order_items_dataset,order_id,olist_order_payments_dataset,order_id,order_id,100.0
Structural,olist_order_items_dataset,order_id,olist_order_reviews_dataset,order_id,order_id,99.24
Structural,olist_order_items_dataset,order_id,olist_orders_dataset,order_id,order_id,100.0
Structural,olist_order_items_dataset,product_id,olist_products_dataset,product_id,product_id,100.0
Structural,olist_order_items_dataset,seller_id,olist_sellers_dataset,seller_id,seller_id,100.0
Structural,olist_order_payments_dataset,order_id,olist_order_items_dataset,order_id,order_id,99.22
Structural,olist_order_payments_dataset,order_id,olist_order_reviews_dataset,order_id,order_id,99.23
Structural,olist_order_payments_dataset,order_id,olist_orders_dataset,order_id,order_id,100.0
Structural,olist_order_reviews_dataset,order_id,olist_order_items_dataset,order_id,order_id,99.23
Structural,olist_order_reviews_dataset,order_id,olist_order_payments_dataset,order_id,order_id,100.0
Structural,olist_order_reviews_dataset,order_id,olist_orders_dataset,order_id,order_id,100.0
Structural,olist_orders_dataset,customer_id,olist_customers_dataset,customer_id,customer_id,100.0
Structural,olist_orders_dataset,order_id,olist_order_items_dataset,order_id,order_id,99.22
Structural,olist_orders_dataset,order_id,olist_order_payments_dataset,order_id,order_id,100.0
Structural,olist_orders_dataset,order_id,olist_order_reviews_dataset,order_id,order_id,99.23
Structural,olist_products_dataset,product_id,olist_order_items_dataset,product_id,product_id,100.0
Structural,olist_products_dataset,product_category_name,product_category_name_translation,product_category_name,,97.26
Structural,olist_sellers_dataset,seller_id,olist_order_items_dataset,seller_id,seller_id,100.0
Structural,product_category_name_translation,product_category_name,olist_products_dataset,product_category_name,,100.0
